,Ph,Ti,Ta,Th
2019-12-23 00:00:00+00:00,0,18.1375,5.4,4.6
2019-12-23 01:00:00+00:00,0,18.1,5.1,4.45
2019-12-23 02:00:00+00:00,0,18.0125,5,4.15
2019-12-23 03:00:00+00:00,97.2235606,17.9625,4.8,4.1
2019-12-23 04:00:00+00:00,76.2022502,17.9875,5.5,68.15
2019-12-23 05:00:00+00:00,60.4362674,18.2375,6.2,66.7
2019-12-23 06:00:00+00:00,60.4362674,18.5125,6.7,64.2
2019-12-23 07:00:00+00:00,76.2022502,18.8,6.6,60.2
2019-12-23 08:00:00+00:00,68.3192588,19.325,6.3,71.75
2019-12-23 09:00:00+00:00,81.4575778,19.7375,6.4,63.05
2019-12-23 10:00:00+00:00,65.691595,20.1625,7,63.3
2019-12-23 11:00:00+00:00,52.553276,20.5125,7.9,63.55
2019-12-23 12:00:00+00:00,52.553276,20.6125,8.7,56.8
2019-12-23 13:00:00+00:00,42.0426208,20.65,9.4,54.55
2019-12-23 14:00:00+00:00,42.0426208,20.625,9.4,52.5
2019-12-23 15:00:00+00:00,47.2979484,20.6125,8.8,50.65
2019-12-23 16:00:00+00:00,21.0213104,20.575,8.1,55.05
2019-12-23 17:00:00+00:00,0,20.475,7.9,43.9
2019-12-23 18:00:00+00:00,0,20.225,7.4,33.85
2019-12-23 19:00:00+00:00,0,20.025,7.3,26.75
2019-12-23 20:00:00+00:00,0,19.8625,7.4,22
2019-12-23 21:00:00+00:00,0,19.725,7.1,18.8
2019-12-23 22:00:00+00:00,0,19.575,7.2,16.45
2019-12-23 23:00:00+00:00,0,19.4625,6.9,14.6
2019-12-24 00:00:00+00:00,0,19.3625,7.1,13.25
2019-12-24 01:00:00+00:00,0,19.2375,7.3,12
2019-12-24 02:00:00+00:00,0,19.15,7.5,11
2019-12-24 03:00:00+00:00,65.691595,19.0625,7.4,10.25
2019-12-24 04:00:00+00:00,47.2979484,19.075,7.6,61.55
2019-12-24 05:00:00+00:00,36.7872932,19.175,7.9,61.6
2019-12-24 06:00:00+00:00,47.2979484,19.2375,7.8,64.6
2019-12-24 07:00:00+00:00,63.0639312,19.375,7.5,60.95
2019-12-24 08:00:00+00:00,63.0639312,19.675,7.4,61.25
2019-12-24 09:00:00+00:00,81.4575778,20.0625,7.6,60
2019-12-24 10:00:00+00:00,52.553276,20.4875,8.5,59.8
2019-12-24 11:00:00+00:00,44.6702846,20.625,9.2,53.5
2019-12-24 12:00:00+00:00,42.0426208,20.7,9.9,51.2
2019-12-24 13:00:00+00:00,36.7872932,20.7625,10.6,49.55
2019-12-24 14:00:00+00:00,44.6702846,20.775,11.1,47.4
2019-12-24 15:00:00+00:00,39.414957,20.75,11.1,46.75
2019-12-24 16:00:00+00:00,39.414957,20.7375,10.3,49.35
2019-12-24 17:00:00+00:00,31.5319656,20.7,10,48.35
2019-12-24 18:00:00+00:00,26.276638,20.55,10,57.6
2019-12-24 19:00:00+00:00,0,20.4125,9.2,58.25
2019-12-24 20:00:00+00:00,0,20.2625,8.6,43.95
2019-12-24 21:00:00+00:00,0,20.125,8.9,35.15
2019-12-24 22:00:00+00:00,0,20.0125,9,29.15
2019-12-24 23:00:00+00:00,0,19.8875,8.7,24.4
2019-12-25 00:00:00+00:00,0,19.7875,8.1,20.75
2019-12-25 01:00:00+00:00,0,19.6875,7.3,18.3
2019-12-25 02:00:00+00:00,0,19.5875,6.7,16
2019-12-25 03:00:00+00:00,0,19.4875,6.3,14.1
2019-12-25 04:00:00+00:00,0,19.4,5.9,12.8
2019-12-25 05:00:00+00:00,0,19.3125,5.3,11.6
2019-12-25 06:00:00+00:00,0,19.2125,4.6,10.5
2019-12-25 07:00:00+00:00,0,19.1375,4.2,9.6
2019-12-25 08:00:00+00:00,23.6489742,19.0375,4,15.1
2019-12-25 09:00:00+00:00,0,19.05,4.1,16.25
2019-12-25 10:00:00+00:00,0,19.125,4.6,14.55
2019-12-25 11:00:00+00:00,0,19.2125,5.3,14.1
2019-12-25 12:00:00+00:00,0,19.2625,6.1,13.95
2019-12-25 13:00:00+00:00,0,19.475,7.5,12.55
2019-12-25 14:00:00+00:00,0,19.325,7,10.75
2019-12-25 15:00:00+00:00,0,19.2375,6.3,9.8
2019-12-25 16:00:00+00:00,0,19.0375,5.3,8.9
2019-12-25 17:00:00+00:00,28.9043018,18.925,4.4,7.95
2019-12-25 18:00:00+00:00,0,18.8625,3.9,17
2019-12-25 19:00:00+00:00,0,18.8125,3.4,15.6
2019-12-25 20:00:00+00:00,0,18.7125,3,13.9
2019-12-25 21:00:00+00:00,0,18.6125,2.7,13
2019-12-25 22:00:00+00:00,0,18.5125,2.4,12.6
2019-12-25 23:00:00+00:00,0,18.4125,2.1,12.15
2019-12-26 00:00:00+00:00,0,18.3125,1.9,11.9
2019-12-26 01:00:00+00:00,0,18.225,2,11.75
2019-12-26 02:00:00+00:00,0,18.15,2.1,11.55
2019-12-26 03:00:00+00:00,0,18.0875,2.4,11.5
2019-12-26 04:00:00+00:00,0,17.9875,2.6,11.25
2019-12-26 05:00:00+00:00,0,17.925,3.1,11.3
2019-12-26 06:00:00+00:00,0,17.9,3.5,11.15
2019-12-26 07:00:00+00:00,0,17.8125,4.2,11.1
2019-12-26 08:00:00+00:00,0,17.75,4.5,11
2019-12-26 09:00:00+00:00,0,17.7125,4.9,11.05
2019-12-26 10:00:00+00:00,0,17.625,5.2,10.95
2019-12-26 11:00:00+00:00,0,17.575,6.2,11.15
2019-12-26 12:00:00+00:00,0,17.575,7.6,9.35
2019-12-26 13:00:00+00:00,0,17.5375,8.2,7.95
2019-12-26 14:00:00+00:00,0,17.5125,8.3,7.25
2019-12-26 15:00:00+00:00,0,17.4875,8.6,6.65
2019-12-26 16:00:00+00:00,0,17.4625,8.3,6
2019-12-26 17:00:00+00:00,0,17.4125,8,5.5
2019-12-26 18:00:00+00:00,0,17.375,8.2,5.2
2019-12-26 19:00:00+00:00,0,17.325,8.2,5.05
2019-12-26 20:00:00+00:00,0,17.325,8.1,4.85
2019-12-26 21:00:00+00:00,0,17.2375,7.9,4.7
2019-12-26 22:00:00+00:00,0,17.2375,7.8,4.65
2019-12-26 23:00:00+00:00,0,17.175,8.1,4.65
2019-12-27 00:00:00+00:00,0,17.1125,7.2,4.5
2019-12-27 01:00:00+00:00,0,17.05,6.6,4.35
2019-12-27 02:00:00+00:00,0,17.0125,6.6,4.2
2019-12-27 03:00:00+00:00,0,16.975,6.6,5.35
2019-12-27 04:00:00+00:00,0,16.9125,6.5,5.55
2019-12-27 05:00:00+00:00,0,16.875,6.5,5.65
2019-12-27 06:00:00+00:00,0,16.825,6.4,5.8
2019-12-27 07:00:00+00:00,0,16.7875,6.4,5.8
2019-12-27 08:00:00+00:00,0,16.7625,6.5,5.9
2019-12-27 09:00:00+00:00,0,16.725,6.6,5.9
2019-12-27 10:00:00+00:00,0,16.6875,6.8,6.05
2019-12-27 11:00:00+00:00,0,16.6875,7.3,6.15
2019-12-27 12:00:00+00:00,0,16.7375,7.7,6.2
2019-12-27 13:00:00+00:00,0,16.725,7.9,6.35
2019-12-27 14:00:00+00:00,0,16.7,8.1,6.45
2019-12-27 15:00:00+00:00,0,16.6625,8,6.65
2019-12-27 16:00:00+00:00,0,16.625,7.2,6.6
2019-12-27 17:00:00+00:00,0,16.5375,6.2,6.45
2019-12-27 18:00:00+00:00,0,16.525,5.6,6.4
2019-12-27 19:00:00+00:00,0,16.4625,5.4,6.2
2019-12-27 20:00:00+00:00,0,16.4375,5.8,6.1
2019-12-27 21:00:00+00:00,0,16.375,6.1,6.15
2019-12-27 22:00:00+00:00,0,16.3625,6.6,6.1
2019-12-27 23:00:00+00:00,0,16.3125,6.7,6.25
2019-12-28 00:00:00+00:00,0,16.2875,6.4,8.65
2019-12-28 01:00:00+00:00,0,16.275,6.6,8.75
2019-12-28 02:00:00+00:00,0,16.225,6.8,8.9
2019-12-28 03:00:00+00:00,0,16.2,6.8,9.05
2019-12-28 04:00:00+00:00,0,16.1625,6.7,9.1
2019-12-28 05:00:00+00:00,0,16.1125,6.3,9.05
2019-12-28 06:00:00+00:00,0,16.1,6.6,9.1
2019-12-28 07:00:00+00:00,0,16.0625,6.7,9.1
2019-12-28 08:00:00+00:00,0,16.025,6.8,9.1
2019-12-28 09:00:00+00:00,0,16.0125,7,9.1
2019-12-28 10:00:00+00:00,0,15.9875,7.5,9.15
2019-12-28 11:00:00+00:00,0,15.975,7.8,9.15
2019-12-28 12:00:00+00:00,0,15.95,8.1,9.05
2019-12-28 13:00:00+00:00,0,15.9375,8.3,9.15
2019-12-28 14:00:00+00:00,0,15.9,8.4,9.15
2019-12-28 15:00:00+00:00,0,15.8875,8.3,9.15
2019-12-28 16:00:00+00:00,0,15.8625,8.3,9.15
2019-12-28 17:00:00+00:00,0,15.825,8.2,9.15
2019-12-28 18:00:00+00:00,0,15.8,8,9.15
2019-12-28 19:00:00+00:00,0,15.775,7.8,9.1
2019-12-28 20:00:00+00:00,0,15.7375,7.6,8.9
2019-12-28 21:00:00+00:00,0,15.7,7.6,8.95
2019-12-28 22:00:00+00:00,0,15.6875,7.4,8.95
2019-12-28 23:00:00+00:00,0,15.65,7.3,8.9
2019-12-29 00:00:00+00:00,0,15.6,7.1,8.95
2019-12-29 01:00:00+00:00,0,15.6,7,8.8
2019-12-29 02:00:00+00:00,0,15.55,6.9,8.9
2019-12-29 03:00:00+00:00,0,15.5,6.7,8.8
2019-12-29 04:00:00+00:00,0,15.5,6.6,8.7
2019-12-29 05:00:00+00:00,0,15.45,6.6,8.65
2019-12-29 06:00:00+00:00,0,15.425,6.6,8.65
2019-12-29 07:00:00+00:00,0,15.4,6.6,8.55
2019-12-29 08:00:00+00:00,0,15.3625,6.5,8.5
2019-12-29 09:00:00+00:00,0,15.35,6.6,8.55
2019-12-29 10:00:00+00:00,0,15.325,6.7,8.55
2019-12-29 11:00:00+00:00,0,15.35,6.8,8.55
2019-12-29 12:00:00+00:00,0,15.4,7.1,8.65
2019-12-29 13:00:00+00:00,0,15.625,8,8.65
2019-12-29 14:00:00+00:00,0,15.6,8,8.8
2019-12-29 15:00:00+00:00,0,15.575,7.8,8.95
2019-12-29 16:00:00+00:00,0,15.4875,7,8.95
2019-12-29 17:00:00+00:00,0,15.425,6.2,8.95
2019-12-29 18:00:00+00:00,0,15.35,5.7,8.8
2019-12-29 19:00:00+00:00,0,15.3125,5.6,8.75
2019-12-29 20:00:00+00:00,0,15.25,5.5,8.6
2019-12-29 21:00:00+00:00,0,15.225,5.2,8.45
2019-12-29 22:00:00+00:00,0,15.1875,4.9,8.65
2019-12-29 23:00:00+00:00,0,15.15,4.6,8.5
2019-12-30 00:00:00+00:00,0,15.0875,4.1,8.5
2019-12-30 01:00:00+00:00,0,15.425,3.9,50.3
2019-12-30 02:00:00+00:00,0,15.6125,3.8,24.7
2019-12-30 03:00:00+00:00,0,15.525,3.7,16.85
2019-12-30 04:00:00+00:00,5.2553276,15.425,3.2,13.35
2019-12-30 05:00:00+00:00,42.0426208,15.3625,3.2,14.3
2019-12-30 06:00:00+00:00,0,15.5,2.8,21.5
2019-12-30 07:00:00+00:00,0,15.4375,3.5,15.2
2019-12-30 08:00:00+00:00,47.2979484,15.3625,4.2,12.45
2019-12-30 09:00:00+00:00,0,15.4,4.5,31
2019-12-30 10:00:00+00:00,0,15.625,4.9,18.35
2019-12-30 11:00:00+00:00,0,15.7875,5.8,14.2
2019-12-30 12:00:00+00:00,0,15.8125,6.9,12.35
2019-12-30 13:00:00+00:00,0,16.1375,8.7,11.4
2019-12-30 14:00:00+00:00,0,15.975,8.4,10.8
2019-12-30 15:00:00+00:00,0,15.9,8.2,10.45
2019-12-30 16:00:00+00:00,0,15.775,7.8,10.15
2019-12-30 17:00:00+00:00,0,15.6875,7.3,9.85
2019-12-30 18:00:00+00:00,0,15.6,7,9.6
2019-12-30 19:00:00+00:00,0,15.5625,6.8,9.4
2019-12-30 20:00:00+00:00,0,15.5,6.3,9.2
2019-12-30 21:00:00+00:00,0,15.425,6.3,9.1
2019-12-30 22:00:00+00:00,0,15.3875,6.3,8.95
2019-12-30 23:00:00+00:00,0,15.35,5.6,8.9
2019-12-31 00:00:00+00:00,0,15.3125,5.6,9
2019-12-31 01:00:00+00:00,0,15.25,5.5,8.85
2019-12-31 02:00:00+00:00,0,15.225,5.2,8.75
2019-12-31 03:00:00+00:00,0,15.1625,5.3,8.65
2019-12-31 04:00:00+00:00,0,15.125,5.1,8.6
2019-12-31 05:00:00+00:00,0,15.1,5.3,8.55
2019-12-31 06:00:00+00:00,0,15.0625,5.4,8.55
2019-12-31 07:00:00+00:00,0,15,5.5,8.5
2019-12-31 08:00:00+00:00,0,15,5.9,8.4
2019-12-31 09:00:00+00:00,0,14.9375,6.2,8.4
2019-12-31 10:00:00+00:00,0,14.925,6.5,8.45
2019-12-31 11:00:00+00:00,0,14.925,7,8.45
2019-12-31 12:00:00+00:00,0,14.9125,7.4,8.45
2019-12-31 13:00:00+00:00,0,14.875,7.7,8.45
2019-12-31 14:00:00+00:00,0,14.875,8.1,8.5
2019-12-31 15:00:00+00:00,0,14.8625,8.1,8.5
2019-12-31 16:00:00+00:00,0,14.8375,8,8.5
2019-12-31 17:00:00+00:00,0,14.8125,7.9,8.5
2019-12-31 18:00:00+00:00,0,14.8125,7.8,8.5
2019-12-31 19:00:00+00:00,0,14.7875,7.8,8.4
2019-12-31 20:00:00+00:00,0,14.7375,7.6,8.35
2019-12-31 21:00:00+00:00,0,14.725,7.3,8.35
2019-12-31 22:00:00+00:00,0,14.7,6.9,8.35
2019-12-31 23:00:00+00:00,0,14.6625,5.9,8.3
2020-01-01 00:00:00+00:00,0,14.625,4.8,8.35
2020-01-01 01:00:00+00:00,107.7342158,14.5625,4.2,8.2
2020-01-01 02:00:00+00:00,0,14.8125,3.8,46.45
2020-01-01 03:00:00+00:00,141.8938452,15.025,3.8,22.35
2020-01-01 04:00:00+00:00,84.0852416,15.7875,3.9,76.5
2020-01-01 05:00:00+00:00,89.3405692,16.3,3.9,78.65
2020-01-01 06:00:00+00:00,97.2235606,16.85,3.3,69.95
2020-01-01 07:00:00+00:00,86.7129054,17.3375,2.9,82.4
2020-01-01 08:00:00+00:00,120.8725348,17.725,2.6,72.65
2020-01-01 09:00:00+00:00,91.968233,18.075,2.9,79.6
2020-01-01 10:00:00+00:00,94.5958968,18.375,3.6,72.45
2020-01-01 11:00:00+00:00,91.968233,18.5875,4.3,75
2020-01-01 12:00:00+00:00,97.2235606,18.7875,4.9,73.85
2020-01-01 13:00:00+00:00,94.5958968,18.95,5.3,70.95
2020-01-01 14:00:00+00:00,86.7129054,19.1,5.5,71.4
2020-01-01 15:00:00+00:00,86.7129054,19.2625,5.6,67.3
2020-01-01 16:00:00+00:00,91.968233,19.4125,5.5,66.85
2020-01-01 17:00:00+00:00,89.3405692,19.5625,5.5,70.45
2020-01-01 18:00:00+00:00,86.7129054,19.7125,5.6,71.2
2020-01-01 19:00:00+00:00,76.2022502,19.8,5.7,70.9
2020-01-01 20:00:00+00:00,84.0852416,19.825,5.7,69.4
